1464792180279681025	@nickduncs @fitterhappierAJ Have you checked the children’s heart, lungs, brain (memory &amp; cognition) post covid?  You might sing a different tune.
1464792179952521217	Following the end of crisis standards of care for most of Idaho, the Idaho Supreme Court will return to allowing local judicial districts to set their own COVID-19 rules. https://t.co/tvagXnANyU
1464792177398059019	Well I’m not too keen on this new Transformer character they’ve introduced #Omicron #Robotsindisguise #Transformers #COVID19 https://t.co/hBzG2UGP6P
1464792176018165763	Singapore tracking the emerging Omicron COVID-19 variant very closely: PM Lee https://t.co/BbZtvWTkXg https://t.co/qu8bNCkv8Q
1464792175972012033	Back to the Theatre Post-Pandemic - Evie Casemore, TBS - This is Local London: Back to the Theatre Post-Pandemic - Evie Casemore, TBS  This is Local London https://t.co/I3ArsLyCf2 https://t.co/H4OTB98Re4
1464792175858782217	@janine_hendry Now do https://t.co/zhnAszRQ20  I’d love to know which mp’s prevent a crown land quarantine station being leased by a hotel chain wasn’t commandeered in a pandemic.
1464792175745527822	In jab at China, US praises South Africa’s fast detection of new COVID strain https://t.co/8JhNykeT50
1464792175582060561	Which type of COVID-19 test do you need to travel? Our #HealthHub is here to help you figure it out.  https://t.co/ecXtCTcMGC
1464792175246385162	BBC News - UK: Covid: Cardiff Airport dead without bailout, boss says https://t.co/3imOsZk7wg or https://t.co/3ls8Oqn7xA https://t.co/iBC0V8ACFO
1464792174705332224	Singapore tracking the emerging Omicron COVID-19 variant very closely: PM Lee https://t.co/VVZ7rirncN https://t.co/j5iB4fAqBF
